OPC,Sand,wtob,FA,GS,SF,SP,HPMC,W,Fvol,Df,Lf,CS (MPa)
309,345,0.240449438,1026,0,0,3,2,321,0.02,39,8,21
309,345,0.240449438,1026,0,0,3,2,321,0.02,39,8,24
1112.3,1902,0.265748774,322.6,0,155.7,20,0,422.7,0.007,15,18,26.54
309,345,0.240449438,1026,0,0,3,2,321,0.02,39,8,27
309,345,0.240449438,1026,0,0,3,2,321,0.02,39,8,27.2
450,1085,0.35,0,450,0,3.78,0.91,315,0.006,35,6,27.3
450,1085,0.35,0,450,0,3.78,0.91,315,0,35,0,28.1
450,1085,0.35,0,450,0,3.78,0.91,315,0.003,35,3,28.6
309,345,0.240449438,1026,0,0,3,2,321,0.02,39,8,29
309,345,0.240449438,1026,0,0,3,2,321,0.02,39,8,29.3
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,29.5314153
450,1085,0.35,0,450,0,3.78,0.91,315,0.001,35,3,30
655,246,0.263616558,604,0,118,3.5,0,363,0.015,25,12,30.48142783
309,345,0.240449438,1026,0,0,3,2,321,0.02,39,8,32
1112.3,1902,0.265748774,322.6,0,155.7,20,0,422.7,0.007,15,18,32.14
309,345,0.240449438,1026,0,0,3,2,321,0.02,39,8,32.5
450,1085,0.35,0,450,0,3.78,0.91,315,0.006,35,6,33.2
655,246,0.263616558,604,0,118,3.5,0,363,0.02,25,12,34
1112.3,1902,0.265748774,322.6,0,155.7,20,0,422.7,0.007,15,18,34.23
450,1085,0.35,0,450,0,3.78,0.91,315,0.003,35,3,34.3
655,246,0.263616558,604,0,118,3.5,0,363,0.02,25,12,34.5
655,246,0.263616558,604,0,118,3.5,0,363,0.015,25,12,35.17061679
450,1085,0.35,0,450,0,3.78,0.91,315,0,35,0,35.2
655,246,0.263616558,604,0,118,3.5,0,363,0.02,25,12,35.3
450,1085,0.35,0,450,0,3.78,0.91,315,0.001,35,6,35.6
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,35.63842703
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,35.77546606
1112.3,1902,0.265748774,322.6,0,155.7,20,0,422.7,0.007,15,18,35.84
655,246,0.263616558,604,0,118,3.5,0,363,0.015,25,12,36.46536189
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,36.58998415
450,1085,0.35,0,450,0,3.78,0.91,315,0.001,35,6,38.2
655,246,0.263616558,604,0,118,3.5,0,363,0.02,25,12,38.2038235
450,1085,0.35,0,450,0,3.78,0.91,315,0.003,35,3,38.5
655,246,0.263616558,604,0,118,3.5,0,363,0.02,25,12,38.77387895
655,246,0.263616558,604,0,118,3.5,0,363,0.015,25,12,39.03539687
655,246,0.263616558,604,0,118,3.5,0,363,0.015,25,12,39.67171938
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,39.828551
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,39.9638976
1112.3,1902,0.265748774,322.6,0,155.7,20,0,422.7,0.007,15,18,40.12
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,41.08497298
450,1085,0.35,0,450,0,3.78,0.91,315,0,35,0,41.2
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,42.24916214
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,42.69773496
655,246,0.263616558,604,0,118,3.5,0,363,0.015,25,12,43.32109799
655,246,0.263616558,604,0,118,3.5,0,363,0.02,25,12,43.33562428
655,246,0.263616558,604,0,118,3.5,0,363,0.015,25,12,44.19032357
655,246,0.263616558,604,0,118,3.5,0,363,0.02,25,12,44.2
655,246,0.263616558,604,0,118,3.5,0,363,0.015,25,12,44.33581219
655,246,0.263616558,604,0,118,3.5,0,363,0.015,25,12,45.13340406
1112.3,1902,0.265748774,322.6,0,155.7,20,0,422.7,0.007,15,18,45.98
655,246,0.263616558,604,0,118,3.5,0,363,0.015,25,12,47.62402668
655,246,0.263616558,604,0,118,3.5,0,363,0.02,25,12,47.84550733
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,48.11534831
655,246,0.263616558,604,0,118,3.5,0,363,0.02,25,12,48.44283161
655,246,0.263616558,604,0,118,3.5,0,363,0.015,25,12,49.8069535
655,246,0.263616558,604,0,118,3.5,0,363,0.02,25,12,49.85145549
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,50.47528754
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,53.51860152
655,246,0.263616558,604,0,118,3.5,0,363,0.02,25,12,53.6422965
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,56.21109123
655,246,0.263616558,604,0,118,3.5,0,363,0.01,25,12,61.37422088
483,1074,0.169617894,0,322,268,10.7,0,182,0.0025,20,3,68
483,1074,0.169617894,0,322,268,0,0,182,0.005,39,6,69.2
483,1074,0.169617894,0,322,268,10.7,0,182,0.0025,20,3,70
483,1074,0.169617894,0,322,268,0,0,182,0.005,39,6,73.2
483,1074,0.169617894,0,322,268,0,0,182,0.005,39,6,74.6
483,1074,0.169617894,0,322,268,10.7,0,182,0.0025,20,3,75
483,1074,0.169617894,0,322,268,0,0,182,0.0025,39,6,75.1
483,1074,0.169617894,0,322,268,0,0,182,0.0025,39,6,75.6
483,1074,0.169617894,0,322,268,0,0,182,0.005,39,6,76.4
483,1074,0.169617894,0,322,268,10.7,0,182,0.01,20,3,78
483,1074,0.169617894,0,322,268,0,0,182,0.005,39,6,78.2
483,1074,0.169617894,0,322,268,0,0,182,0.01,39,6,79.2
483,1074,0.169617894,0,322,268,0,0,182,0.0025,39,6,80
483,1074,0.169617894,0,322,268,0,0,182,0.0075,39,6,80.1
483,1074,0.169617894,0,322,268,0,0,182,0.01,39,6,80.1
483,1074,0.169617894,0,322,268,10.7,0,182,0.01,20,6,81.1
483,1074,0.169617894,0,322,268,10.7,0,182,0.01,20,6,82
483,1074,0.169617894,0,322,268,10.7,0,182,0.0075,20,3,82
